TransactionID,Date,Category,Product,Quantity,UnitPrice,TotalPrice,Region,SalesRep,PaymentMethod
1,2023-11-24,Electronics,Laptop,8,143.84,1150.72,East,Bob,Cash
2,2023-12-13,Toys,Puzzle,2,34.65,69.3,Central,Diana,Credit Card
3,2023-04-30,Toys,Puzzle,18,422.42,7603.56,Central,Bob,Bank Transfer
4,2023-10-29,Clothing,T-Shirt,11,281.48,3096.28,South,Diana,Credit Card
5,2023-06-22,Electronics,Laptop,12,848.26,10179.12,West,Alice,Online
6,2023-01-23,Groceries,Rice,18,296.71,5340.78,West,Alice,Online
7,2023-10-23,Furniture,Chair,10,985.3,9853,North,Bob,Credit Card
8,2023-02-21,Groceries,Bread,6,373.33,2239.98,West,Charlie,Credit Card
9,2023-12-10,Clothing,T-Shirt,18,730.48,13148.64,Central,Bob,Credit Card
10,2023-08-25,Groceries,Bread,11,843.64,9280.04,Central,Bob,Cash
11,2023-04-28,Electronics,Tablet,3,214.93,644.79,West,Charlie,Online
12,2023-04-19,Groceries,Eggs,9,143.93,1295.37,West,Bob,Online
13,2023-10-27,Groceries,Eggs,5,511.98,2559.9,East,Bob,Cash
14,2023-01-25,Electronics,Smartphone,20,68.21,1364.2,South,Diana,Bank Transfer
15,2023-11-02,Groceries,Bread,4,683.3,2733.2,Central,Alice,Online
16,2023-11-25,Clothing,T-Shirt,6,456.46,2738.76,East,Diana,Online
17,2023-09-14,Furniture,Chair,20,202.92,4058.4,East,Ethan,Online
18,2023-03-24,Toys,Puzzle,16,24.38,390.08,Central,Charlie,Online
19,2023-06-07,Furniture,Chair,3,90.23,270.69,South,Ethan,Bank Transfer
20,2023-02-05,Toys,Doll,18,169.3,3047.4,South,Diana,Bank Transfer
21,2023-04-19,Toys,Doll,12,440.91,5290.92,East,Diana,Bank Transfer
22,2023-03-03,Furniture,Table,1,590.37,590.37,North,Charlie,Credit Card
23,2023-10-29,Furniture,Chair,8,72.06,576.48,North,Alice,Cash
24,2023-06-19,Electronics,Smartphone,7,541.54,3790.78,East,Diana,Bank Transfer
25,2023-05-05,Groceries,Eggs,4,660.69,2642.76,South,Alice,Online
26,2023-08-05,Groceries,Eggs,2,405.61,811.22,North,Alice,Online
27,2023-02-25,Furniture,Table,15,144.48,2167.2,South,Ethan,Credit Card
28,2023-05-23,Groceries,Milk,18,102.42,1843.56,North,Diana,Cash
29,2023-02-17,Furniture,Table,16,217.68,3482.88,West,Diana,Bank Transfer
30,2023-01-31,Furniture,Bookshelf,9,926.89,8342.01,North,Diana,Bank Transfer
31,2023-05-27,Groceries,Eggs,10,221.61,2216.1,South,Bob,Cash
32,2023-10-24,Toys,Puzzle,2,586.26,1172.52,East,Alice,Credit Card
33,2023-01-30,Toys,Puzzle,20,72.62,1452.4,South,Alice,Credit Card
34,2023-07-26,Electronics,Smartphone,2,621.28,1242.56,Central,Ethan,Bank Transfer
35,2023-12-03,Toys,Action Figure,11,242.49,2667.39,East,Bob,Bank Transfer
36,2023-03-09,Clothing,Shoes,1,460.99,460.99,East,Alice,Cash
37,2023-02-07,Toys,Doll,5,933.59,4667.95,Central,Charlie,Cash
38,2023-05-06,Clothing,Jacket,18,705.02,12690.36,South,Diana,Cash
39,2023-12-08,Toys,Action Figure,9,119.85,1078.65,North,Bob,Cash
40,2023-10-11,Furniture,Sofa,7,719.02,5033.14,East,Ethan,Credit Card
41,2023-12-18,Clothing,Shoes,3,636.11,1908.33,East,Alice,Online
42,2023-01-23,Electronics,Tablet,6,742.52,4455.12,South,Charlie,Bank Transfer
43,2023-10-15,Electronics,Laptop,18,40.85,735.3,North,Bob,Online
44,2023-10-26,Toys,Doll,2,311.72,623.44,West,Bob,Cash
45,2023-07-03,Furniture,Table,18,884.71,15924.78,North,Charlie,Bank Transfer
46,2023-11-14,Furniture,Table,14,29.66,415.24,South,Bob,Online
47,2023-07-30,Furniture,Sofa,13,872.81,11346.53,South,Alice,Bank Transfer
48,2023-04-24,Furniture,Bookshelf,8,226.81,1814.48,East,Charlie,Credit Card
49,2023-07-24,Clothing,Jacket,12,643.27,7719.24,North,Charlie,Bank Transfer
50,2023-12-14,Toys,Action Figure,9,182.67,1644.03,North,Alice,Online
51,2023-01-20,Electronics,Headphones,14,608.18,8514.52,East,Charlie,Cash
52,2023-07-17,Toys,Doll,14,6.68,93.52,East,Alice,Credit Card
53,2023-07-06,Groceries,Rice,11,665.07,7315.77,East,Ethan,Cash
54,2023-06-03,Toys,Action Figure,13,698.72,9083.36,West,Charlie,Credit Card
55,2023-04-09,Groceries,Eggs,19,304.45,5784.55,South,Ethan,Cash
56,2023-06-05,Clothing,Jeans,20,656.43,13128.6,West,Ethan,Bank Transfer
57,2023-08-15,Groceries,Milk,6,660.56,3963.36,Central,Diana,Online
58,2023-09-21,Toys,Action Figure,10,228.52,2285.2,North,Bob,Credit Card
59,2023-03-17,Electronics,Laptop,20,850.49,17009.8,South,Diana,Cash
60,2023-08-22,Groceries,Milk,13,247.76,3220.88,West,Diana,Cash
61,2023-02-24,Groceries,Milk,15,54.97,824.55,South,Ethan,Credit Card
62,2023-03-04,Groceries,Milk,18,597.48,10754.64,West,Ethan,Bank Transfer
63,2023-11-10,Toys,Board Game,6,744.94,4469.64,Central,Diana,Bank Transfer
64,2023-08-19,Clothing,Jeans,16,628.61,10057.76,East,Ethan,Online
65,2023-08-14,Electronics,Tablet,11,323.11,3554.21,South,Charlie,Cash
66,2023-03-12,Furniture,Table,7,68.91,482.37,West,Bob,Bank Transfer
67,2023-06-19,Toys,Board Game,7,833.73,5836.11,West,Alice,Bank Transfer
68,2023-10-27,Electronics,Headphones,12,302.12,3625.44,West,Alice,Bank Transfer
69,2023-08-03,Toys,Doll,9,438.66,3947.94,West,Bob,Cash
70,2023-07-19,Clothing,Shoes,5,980.82,4904.1,South,Diana,Cash
71,2023-07-21,Toys,Puzzle,5,867.52,4337.6,North,Diana,Credit Card
72,2023-01-26,Clothing,Shoes,15,330.21,4953.15,East,Bob,Bank Transfer
73,2023-05-23,Groceries,Bread,1,750.28,750.28,North,Diana,Cash
74,2023-06-29,Furniture,Chair,8,203.36,1626.88,North,Alice,Cash
75,2023-11-15,Furniture,Table,4,566.15,2264.6,South,Diana,Credit Card
76,2023-08-27,Clothing,Jacket,20,963.92,19278.4,South,Ethan,Cash
77,2023-03-25,Clothing,T-Shirt,10,577.92,5779.2,Central,Alice,Bank Transfer
78,2023-07-23,Furniture,Chair,4,698.71,2794.84,Central,Bob,Online
79,2023-12-17,Toys,Puzzle,12,535.08,6420.96,Central,Alice,Online
80,2023-02-05,Toys,Action Figure,16,110.01,1760.16,North,Diana,Online
81,2023-11-22,Groceries,Milk,17,965.65,16416.05,West,Bob,Online
82,2023-11-12,Toys,Board Game,19,272.05,5168.95,West,Diana,Credit Card
83,2023-02-14,Clothing,Shoes,19,612.28,11633.32,South,Diana,Bank Transfer
84,2023-06-22,Electronics,Headphones,16,216.06,3456.96,East,Bob,Online
85,2023-06-24,Clothing,Jacket,17,948.32,16121.44,Central,Alice,Cash
86,2023-05-04,Groceries,Eggs,16,647.67,10362.72,Central,Bob,Bank Transfer
87,2023-08-18,Electronics,Laptop,13,693.33,9013.29,East,Bob,Online
88,2023-12-06,Toys,Action Figure,17,347.04,5899.68,West,Ethan,Online
89,2023-06-30,Groceries,Bread,8,125.05,1000.4,East,Charlie,Credit Card
90,2023-06-11,Electronics,Smartphone,16,280.12,4481.92,South,Bob,Online
91,2023-02-21,Furniture,Sofa,6,305.76,1834.56,South,Charlie,Credit Card
92,2023-05-21,Electronics,Laptop,5,639.68,3198.4,Central,Charlie,Bank Transfer
93,2023-02-22,Electronics,Tablet,15,344,5160,West,Diana,Cash
94,2023-05-10,Groceries,Rice,16,78.71,1259.36,North,Diana,Cash
95,2023-03-19,Furniture,Sofa,4,560.28,2241.12,North,Bob,Bank Transfer
96,2023-11-07,Toys,Doll,15,908.96,13634.4,Central,Diana,Online
97,2023-10-29,Groceries,Bread,2,611.58,1223.16,Central,Ethan,Cash
98,2023-04-17,Furniture,Sofa,8,177.94,1423.52,North,Bob,Cash
99,2023-03-22,Electronics,Headphones,16,294.8,4716.8,West,Ethan,Credit Card
100,2023-05-28,Clothing,Shoes,9,788.89,7100.01,North,Bob,Credit Card
101,2023-08-06,Electronics,Smartphone,5,76.05,380.25,South,Charlie,Credit Card
102,2023-06-07,Toys,Action Figure,15,690.23,10353.45,West,Alice,Bank Transfer
103,2023-05-20,Toys,Board Game,20,44.66,893.2,West,Alice,Bank Transfer
104,2023-06-15,Toys,Action Figure,8,962.1,7696.8,North,Alice,Cash
105,2023-12-11,Clothing,T-Shirt,17,653.25,11105.25,South,Diana,Online
106,2023-04-03,Toys,Board Game,16,351.22,5619.52,West,Alice,Online
107,2023-06-14,Electronics,Smartphone,16,291.78,4668.48,East,Diana,Bank Transfer
108,2023-10-09,Electronics,Headphones,9,326.66,2939.94,North,Charlie,Bank Transfer
109,2023-09-21,Electronics,Headphones,7,520.85,3645.95,West,Alice,Bank Transfer
110,2023-11-17,Groceries,Rice,18,135.36,2436.48,South,Charlie,Online
111,2023-08-13,Groceries,Rice,8,711.23,5689.84,North,Ethan,Online
112,2023-10-10,Electronics,Headphones,4,464.14,1856.56,North,Bob,Cash
113,2023-11-28,Furniture,Bookshelf,9,418.41,3765.69,East,Ethan,Bank Transfer
114,2023-08-30,Furniture,Bookshelf,13,194.66,2530.58,Central,Bob,Credit Card
115,2023-02-05,Clothing,Shoes,9,821.45,7393.05,East,Ethan,Online
116,2023-06-02,Toys,Board Game,18,486.92,8764.56,South,Diana,Online
117,2023-10-10,Toys,Board Game,7,980.87,6866.09,West,Charlie,Credit Card
118,2023-10-20,Groceries,Milk,11,745.98,8205.78,West,Alice,Bank Transfer
119,2023-07-17,Furniture,Bookshelf,17,965.53,16414.01,North,Bob,Online
120,2023-02-21,Groceries,Rice,1,723.83,723.83,Central,Diana,Bank Transfer
